Year,Month,CAISO,NWPP,ERCOT,MISO,SPP,PJM,NYPP,NEPOOL,CONUS,NWPP_Rolling_Avg,ERCOT_Rolling_Avg,MISO_Rolling_Avg,SPP_Rolling_Avg,PJM_Rolling_Avg,NYPP_Rolling_Avg,NEPOOL_Rolling_Avg,CONUS_Rolling_Avg,CAISO_Rolling_Avg,CAISO_pct_diff,NWPP_pct_diff,ERCOT_pct_diff,MISO_pct_diff,SPP_pct_diff,PJM_pct_diff,NYPP_pct_diff,NEPOOL_pct_diff,CONUS_pct_diff
2000.0,8.0,241.5,119.5,674.9,344.5,539.0,234.7,239.4,150.3,339.6,142.11,601.5,307.95,401.4,285.32,288.28000000000003,198.79,358.12,259.90999999999997,-7.0832211150013356,-15.910210400394071,12.202826267664168,11.868809871732429,34.28001993024415,-17.741483246880698,-16.955737477452484,-24.392575079229328,-5.171450910309389
2000.0,9.0,182.9,31.7,465.3,176.9,281.2,110.7,116.3,61.4,195.5,45.86,424.4,166.32,203.48,123.55,119.96000000000001,61.92999999999999,199.57999999999998,205.78000000000003,-11.118670424725446,-30.876580898386397,9.637134778510848,6.361231361231369,38.1954000393159,-10.400647511129094,-3.051017005668565,-0.8558049410624803,-2.04429301533219
2000.0,10.0,30.7,0.6,236.3,58.2,68.1,15.3,12.0,2.1,51.6,1.8800000000000001,195.28000000000003,48.82,43.02,16.389999999999997,15.530000000000001,5.32,60.31,101.19,-69.66103369898211,-68.08510638297874,21.005735354362955,19.213437115936095,58.298465829846556,-6.650396583282468,-22.730199613651003,-60.526315789473685,-14.442049411374565
2000.0,11.0,0.7,0.0,34.3,11.5,1.6,0.0,0.0,0.0,3.1,0.0,43.63,7.74,2.7299999999999995,0.9100000000000001,0.28,0.53,6.57,16.020000000000003,-95.63046192259675,,-21.384368553747432,48.57881136950904,-41.39194139194138,-100.0,-100.0,-100.0,-52.8158295281583
2000.0,12.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,4.4399999999999995,0.6,0.22000000000000003,0.08,0.0,0.8600000000000001,1.15,-21.7391304347826,,-95.83333333333334,-100.0,-100.0,-100.0,-100.0,,-100.0
2001.0,1.0,0.5,0.0,1.8000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.440000000000001,2.2199999999999998,0.4,0.05,0.0,0.0,0.39,2.21,-77.37556561085974,,-82.75862068965517,-100.0,-100.0,-100.0,,,-100.0
2001.0,2.0,4.4,0.0,31.3,9.1,0.9,0.0,0.0,0.0,1.0,0.0,24.869999999999997,4.35,1.06,0.02,0.0,0.0,1.77,5.199999999999999,-15.384615384615365,,25.85444310414155,109.19540229885058,-15.094339622641511,-100.0,,,-43.50282485875706
2001.0,3.0,4.6000000000000005,0.0,6.0,1.0,0.1,0.1,0.0,0.0,10.5,0.0,61.03000000000001,11.93,5.87,2.65,1.6300000000000001,0.9,9.379999999999999,7.010000000000001,-34.37945791726105,,-90.16876945764378,-91.61777032690695,-98.29642248722318,-96.22641509433963,-100.0,-100.0,11.9402985074627
2001.0,4.0,10.5,0.8,187.3,70.6,62.9,25.3,8.5,4.3,51.2,0.8699999999999999,135.83999999999997,31.340000000000003,21.88,8.77,2.3200000000000003,0.57,34.96,29.639999999999997,-64.57489878542509,-8.045977011494235,37.88280329799768,125.27121888959792,187.47714808043872,188.48346636259978,266.37931034482756,654.3859649122808,46.45308924485126
2001.0,5.0,96.4,31.2,332.1,119.4,133.0,55.8,65.2,43.5,149.4,11.7,344.43999999999994,120.58,129.84,69.95,47.11,23.14,121.51999999999998,61.07000000000001,57.85164565252987,166.66666666666669,-3.5826268726047847,-0.9786034168187034,2.433764633394945,-20.22873481057899,38.399490554022506,87.98617113223854,22.942725477287713
2001.0,6.0,153.2,45.9,489.6,234.0,309.7,226.9,236.5,172.3,289.1,43.32,504.51000000000005,252.11999999999998,296.67999999999995,220.99,187.23,126.92999999999999,265.57,125.60999999999999,21.964811718812204,5.955678670360107,-2.9553428078729906,-7.187053783912415,4.388566805986262,2.6743291551653905,26.315227260588586,35.74411092728277,8.860187521180867
2001.0,7.0,176.0,114.1,634.7,367.4,561.4,277.0,248.1,143.8,359.0,138.76999999999998,629.2900000000001,340.01,441.93,343.42999999999995,336.19,240.87000000000003,394.92,211.10999999999999,-16.631140163895594,-17.777617640700434,0.8596990258863112,8.05564542219346,27.033693118819713,-19.34309757446931,-26.202445045956157,-40.29974675135966,-9.095513015294241
2001.0,8.0,198.9,154.5,606.9,344.7,464.8,340.4,398.8,268.3,404.5,138.12,607.1800000000001,311.34000000000003,412.3,282.82000000000005,283.51,191.06,357.65,260.53000000000003,-23.655625071968686,11.859252823631621,-0.04611482591654639,10.714973983426464,12.73344651952462,20.359239092001953,40.66523226693944,40.427090966188636,13.099398853627855
2001.0,9.0,153.6,48.5,344.5,134.9,164.6,93.5,123.7,65.9,196.8,42.93,425.75,163.19,202.62,121.89000000000001,120.47,62.17,197.73999999999998,202.11,-24.00178120825294,12.974609829955744,-19.083969465648856,-17.33562105521171,-18.764189122495317,-23.29149232914924,2.6811654353781056,5.999678301431565,-0.4753717002123846
2001.0,10.0,70.9,2.1,123.8,29.2,28.2,18.1,24.3,12.2,67.6,1.8399999999999999,201.3,50.230000000000004,46.07,13.73,10.780000000000001,2.88,57.31,90.96000000000001,-22.053649956024625,14.130434782608708,-38.49975161450572,-41.8674099143938,-38.78879965270241,31.828113619810637,125.41743970315397,323.61111111111114,17.95498167859011
2001.0,11.0,4.9,0.0,63.5,12.3,4.7,1.4,0.5,0.0,16.8,0.0,39.7,7.659999999999999,1.9700000000000002,0.7999999999999999,0.14000000000000004,0.22999999999999998,5.7700000000000005,13.689999999999998,-64.20745069393718,,59.94962216624684,60.5744125326371,138.57868020304568,75.0,257.14285714285705,-100.0,191.16117850953208
2001.0,12.0,1.0,0.0,26.1,5.8,1.6,0.1,0.0,0.0,0.6000000000000001,0.0,19.23,3.7199999999999998,0.58,0.2,0.08,0.0,0.75,0.93,7.526881720430103,,35.72542901716069,55.91397849462366,175.86206896551727,-50.0,-100.0,,-19.999999999999986
2002.0,1.0,0.0,0.0,21.8,7.0,1.4,0.2,0.0,0.0,1.4,0.0,10.540000000000001,2.21,0.4,0.05,0.0,0.0,0.39,2.17,-100.0,,106.83111954459201,216.74208144796378,249.99999999999994,300.00000000000006,,,258.9743589743589
2002.0,2.0,9.0,0.0,2.5,0.3,0.0,0.0,0.0,0.0,1.5,0.0,26.959999999999997,5.1,1.15,0.02,0.0,0.0,1.41,5.01,79.64071856287426,,-90.72700296735906,-94.11764705882352,-100.0,-100.0,,,6.382978723404261
2002.0,3.0,1.2000000000000002,0.0,57.2,17.5,2.3,0.4,0.0,0.0,10.3,0.0,54.580000000000005,10.34,4.680000000000001,2.5599999999999996,1.6300000000000001,0.9,9.77,7.469999999999999,-83.93574297188755,,4.800293147673136,69.24564796905223,-50.854700854700866,-84.375,-100.0,-100.0,5.4247697031729905
2002.0,4.0,7.2,0.2,240.7,76.1,55.2,51.2,50.8,11.5,76.5,0.9400000000000001,135.33,33.41,24.67,9.27,1.6300000000000001,0.59,36.0,28.97,-75.14670348636521,-78.72340425531914,77.86152368284931,127.77611493564802,123.75354681799757,452.3193096008631,3016.5644171779136,1849.1525423728813,112.5
2002.0,5.0,40.3,10.8,334.9,103.2,101.0,55.2,33.3,12.6,109.8,14.789999999999997,339.9,112.4,121.35,55.629999999999995,40.0,20.72,118.0,67.86,-40.61302681992338,-26.97768762677483,-1.4710208884966167,-8.185053380782922,-16.769674495261636,-0.7729642279345544,-16.750000000000007,-39.189189189189186,-6.949152542372884
2002.0,6.0,112.7,75.8,498.7,281.5,348.2,245.5,203.8,109.7,301.6,46.36,503.17999999999995,245.58,291.81,217.07,188.0,129.47,265.77,133.79,-15.763509978324233,63.503019844693696,-0.8903374537938633,14.626598257187062,19.324217812960484,13.097157598931226,8.404255319148943,-15.26994670580057,13.481581818865953
2002.0,7.0,208.1,185.0,567.6,407.2,475.3,403.1,402.7,282.9,445.7,135.23,633.02,339.99,451.9,332.84,325.35,229.66,388.86,210.61999999999998,-1.1964675719304825,36.8039636175405,-10.334586584942018,19.76822847730815,5.178136755919459,21.109241677682984,23.774396803442436,23.182095271270565,14.617085840662442
